curso,prerrequisitos,nivel,carrera
"Mundo contemporaneo", "Ninguno", "Ciclo 1", "Psicologia clinica"
"Realidad social peruana", "Ninguno", "Ciclo 1", "Psicologia clinica"
"Procesos psicologicos basicos", "Ninguno", "Ciclo 1", "Psicologia clinica"
"Introduccion a la psicologia", "Ninguno", "Ciclo 1", "Psicologia clinica"
"Bases estruc y func del comportamiento humano", "Ninguno", "Ciclo 1", "Psicologia clinica"
"Estilos de vida medio ambiente y salud", "Ninguno", "Ciclo 2", "Psicologia clinica"
"Introduccion a la estadistica", "Ninguno", "Ciclo 2", "Psicologia clinica"
"Bases biologicas del comportamiento humano", "Bases estruc y func del comportamiento humano", "Ciclo 2", "Psicologia clinica"
"Gestion y busqueda de informacion cientifica", "Ninguno", "Ciclo 2", "Psicologia clinica"
"Bases de evaluacion psicologica", "Ninguno", "Ciclo 2", "Psicologia clinica"
"Desarrollo humano en la infancia y adolescencia", "Procesos psicologicos basicos", "Ciclo 2", "Psicologia clinica"
"Estadistica aplicada", "Introduccion a la estadistica", "Ciclo 3", "Psicologia clinica"
"Desarrollo humano del adulto y adulto mayor", "Desarrollo humano en la infancia y adolescencia", "Ciclo 3", "Psicologia clinica"
"Procesos psicopat en la infancia y adolescencia", "Introduccion a la psicologia", "Ciclo 3", "Psicologia clinica"
"Tecnicas e instrumentos de evaluacion psicologica", "Bases de evaluacion psicologica", "Ciclo 3", "Psicologia clinica"
"Intervenciones sociales y comunitarias", "Realidad social peruana", "Ciclo 3", "Psicologia clinica"
"Salud publica", "Ninguno", "Ciclo 3", "Psicologia clinica"
"Etica y profesionalismo", "Ninguno", "Ciclo 4", "Psicologia clinica"
"Trabajo subjetividad y salud mental", "80 creditos aprobados", "Ciclo 4", "Psicologia clinica"
"Intervenciones en contextos educativos", "Intervenciones sociales y comunitarias", "Ciclo 4", "Psicologia clinica"
"Psicopatologia del adulto", "Procesos psicopat en la infancia y adolescencia", "Ciclo 4", "Psicologia clinica"
"Proceso de evaluacion psicologica", "Tecnicas e instrumentos de evaluacion psicologica", "Ciclo 4", "Psicologia clinica"
"Metodologia de la investigacion", "Estadistica aplicada", "Ciclo 5", "Psicologia clinica"
"Psicologia de la conducta", "80 creditos aprobados", "Ciclo 5", "Psicologia clinica"
"Intervenciones en salud", "Salud publica", "Ciclo 5", "Psicologia clinica"
"Intervenciones en contextos laborales", "Trabajo subjetividad y salud mental", "Ciclo 5", "Psicologia clinica"
"Externado en procesos educativos", "Intervenciones en contextos educativos", "Ciclo 5", "Psicologia clinica"
"Psicoanalisis", "80 creditos aprobados", "Ciclo 6", "Psicologia clinica"
"Patologias actuales", "Psicopatologia del adulto", "Ciclo 6", "Psicologia clinica"
"Intervenciones conductuales", "Psicologia de la conducta", "Ciclo 6", "Psicologia clinica"
"Investigacion cientifica", "Metodologia de la investigacion", "Ciclo 6", "Psicologia clinica"
"Externado en procesos sociales y prom de la salud", "Intervenciones en salud", "Ciclo 6", "Psicologia clinica"
"Consejeria psicologica", "120 creditos aprobados", "Ciclo 7", "Psicologia clinica"
"Intervenciones psicoanaliticas", "Psicoanalisis", "Ciclo 7", "Psicologia clinica"
"Intervenciones psicol en la infancia y adolesc", "120 creditos aprobados", "Ciclo 7", "Psicologia clinica"
"Evaluacion y diagnostico", "Proceso de evaluacion psicologica" "Patologias actuales", "Ciclo 7", "Psicologia clinica"
"Intervenciones cognitivo conductuales", "Intervenciones conductuales", "Ciclo 7", "Psicologia clinica"
"Seminario de investigacion academica", "Investigacion cientifica", "Ciclo 7", "Psicologia clinica"
"Rotaciones en practicas psicologicas 1", "150 creditos aprobados", "Ciclo 8", "Psicologia clinica"
"Abordajes psicologicos contemporaneos", "Ninguno", "Ciclo 8", "Psicologia clinica"
"Intervencion en crisis en emergencias y desastres", "120 creditos aprobados", "Ciclo 8", "Psicologia clinica"
"Rotaciones en practicas psicologicas 2", "Rotaciones en practicas psicologicas 1", "Ciclo 9", "Psicologia clinica"
"Intervenciones en sistemas familiares", "150 creditos aprobados", "Ciclo 9", "Psicologia clinica"
"Prod de conoc cientifico en psicologia", "Seminario de investigacion academica", "Ciclo 9", "Psicologia clinica"
"Gestion y administracion", "Ninguno", "Ciclo 10", "Psicologia clinica"
"Seminarios integradores", "160 creditos aprobados", "Ciclo 10", "Psicologia clinica"
"Rotaciones en practicas psicologicas 3", "Rotaciones en practicas psicologicas 2", "Ciclo 10", "Psicologia clinica"
"Comprensión y Producción de Lenguaje I","Ninguno","Ciclo 1","Ingeniería de Ciberseguridad"
"Creatividad y Liderazgo (Ing)","Ninguno","Ciclo 1","Ingeniería de Ciberseguridad"
"Ética y Ciudadanía","Ninguno","Ciclo 1","Ingeniería de Ciberseguridad"
"Matemática Básica","Ninguno","Ciclo 1","Ingeniería de Ciberseguridad"
"Fundamentos en Programación","Ninguno","Ciclo 1","Ingeniería de Ciberseguridad"
"Cálculo I","Matemática Básica","Ciclo 2","Ingeniería de Ciberseguridad"
"Comprensión y Producción de Lenguaje II","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería de Ciberseguridad"
"Seminario de Investigación Académica I","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería de Ciberseguridad"
"Organización y Dirección de Empresas","Ninguno","Ciclo 2","Ingeniería de Ciberseguridad"
"Programación Orientada a Objetos","Fundamentos en Programación","Ciclo 2","Ingeniería de Ciberseguridad"
"Física I","Cálculo I","Ciclo 3","Ingeniería de Ciberseguridad"
"Arquitectura de Computadoras y Sistemas Operativos","Cálculo I","Ciclo 3","Ingeniería de Ciberseguridad"
"Diseño de Base de Datos","Programación Orientada a Objetos","Ciclo 3","Ingeniería de Ciberseguridad"
"Fundamentos en Ciberseguridad","Programación Orientada a Objetos","Ciclo 3","Ingeniería de Ciberseguridad"
"Matemática Discreta","Matemática Básica" "Fundamentos en Programación","Ciclo 3","Ingeniería de Ciberseguridad"
"Estadística Aplicada I","Cálculo I","Ciclo 4","Ingeniería de Ciberseguridad"
"Física II","Física I","Ciclo 4","Ingeniería de Ciberseguridad"
"Hacking Ético","Fundamentos en Ciberseguridad","Ciclo 4","Ingeniería de Ciberseguridad"
"Matemática Computacional","Cálculo I","Ciclo 4","Ingeniería de Ciberseguridad"
"Redes y Comunicaciones de Datos","Arquitectura de Computadoras y Sistemas Operativos","Ciclo 4","Ingeniería de Ciberseguridad"
"Arquitectura de Aplicaciones","Fundamentos en Ciberseguridad","Ciclo 5","Ingeniería de Ciberseguridad"
"Cálculo II","Cálculo I","Ciclo 5","Ingeniería de Ciberseguridad"
"Criptografía","Matemática Discreta" "Matemática Computacional","Ciclo 5","Ingeniería de Ciberseguridad"
"Finanzas e Ingeniería Económica","Organización y Dirección de Empresas","Ciclo 5","Ingeniería de Ciberseguridad"
"Arquitectura de Ciberseguridad","Redes y Comunicaciones de Datos","Ciclo 6","Ingeniería de Ciberseguridad"
"Ciberseguridad en Entornos Industriales y Cloud","Hacking Ético","Ciclo 6","Ingeniería de Ciberseguridad"
"Procesos de Ciberseguridad","Hacking Ético","Ciclo 6","Ingeniería de Ciberseguridad"
"Seguridad de Integración de Aplicaciones","Arquitectura de Aplicaciones" "Hacking Ético","Ciclo 6","Ingeniería de Ciberseguridad"
"Análisis Forense","Criptografía","Ciclo 7","Ingeniería de Ciberseguridad"
"Gerencia de Proyectos de SI/TI","Procesos de Ciberseguridad","Ciclo 7","Ingeniería de Ciberseguridad"
"Gestión de Incidentes de Ciberseguridad","Hacking Ético","Ciclo 7","Ingeniería de Ciberseguridad"
"Transformación Empresarial en la Era Digital","Finanzas e Ingeniería Económica","Ciclo 7","Ingeniería de Ciberseguridad"
"Estrategia de Ciberseguridad","Procesos de Ciberseguridad" "Transformación Empresarial en la Era Digital","Ciclo 8","Ingeniería de Ciberseguridad"
"Regulación y Marcos de Trabajo","Procesos de Ciberseguridad","Ciclo 8","Ingeniería de Ciberseguridad"
"Taller de Desempeño Profesional","Procesos de Ciberseguridad" "Estadística Aplicada I" "Inglés 5","Ciclo 8","Ingeniería de Ciberseguridad"
"Taller de Investigación Académica","Seminario de Investigación Académica I" "140 créditos aprobados","Ciclo 8","Ingeniería de Ciberseguridad"
"Gobierno de Ciberseguridad y Cumplimiento","Estrategia de Ciberseguridad","Ciclo 9","Ingeniería de Ciberseguridad"
"Taller de Proyecto I","Gerencia de Proyectos de SI/TI" "Taller de Desempeño Profesional" "Taller de Investigación Académica" "Aprobación del Director de Carrera" "2 créditos electivos aprobados","Ciclo 9","Ingeniería de Ciberseguridad"
"Gestión de Tecnologías de Información","Regulación y Marcos de Trabajo","Ciclo 10","Ingeniería de Ciberseguridad"
"Taller de Proyecto II","Taller de Proyecto I","Ciclo 10","Ingeniería de Ciberseguridad"
"Comprensión y Producción de Lenguaje I","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Creatividad y Liderazgo (Ing)","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Ética y Ciudadanía","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Matemática Básica","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Estructura y Función","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Introducción a la Ingeniería Biomédica","Ninguno","Ciclo 1","Ingeniería Biomédica"
"Cálculo I","Matemática Básica","Ciclo 2","Ingeniería Biomédica"
"Comprensión y Producción de Lenguaje II","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería Biomédica"
"Procesos Biológicos 1","Ninguno","Ciclo 2","Ingeniería Biomédica"
"Seminario de Investigación Académica I","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería Biomédica"
"Software para Ingeniería","Matemática Básica" "Introducción a la Ingeniería Biomédica","Ciclo 2","Ingeniería Biomédica"
"Análisis de Circuitos Eléctricos 1","Software para Ingeniería","Ciclo 3","Ingeniería Biomédica"
"Circuitos Lógicos Digitales","Software para Ingeniería","Ciclo 3","Ingeniería Biomédica"
"Física I","Cálculo I","Ciclo 3","Ingeniería Biomédica"
"Matemática Analítica 3","Cálculo I","Ciclo 3","Ingeniería Biomédica"
"Procesos Biológicos 2","Procesos Biológicos 1","Ciclo 3","Ingeniería Biomédica"
"Análisis de Circuitos Eléctricos 2","Análisis de Circuitos Eléctricos 1","Ciclo 4","Ingeniería Biomédica"
"Estadística","Cálculo I","Ciclo 4","Ingeniería Biomédica"
"Física II","Física I","Ciclo 4","Ingeniería Biomédica"
"Matemática Analítica 4","Matemática Analítica 3","Ciclo 4","Ingeniería Biomédica"
"Programación de Computadoras","Circuitos Lógicos Digitales","Ciclo 4","Ingeniería Biomédica"
"Biomateriales","Procesos Biológicos 2","Ciclo 5","Ingeniería Biomédica"
"Dispositivos y Circuitos Analógicos","Análisis de Circuitos Eléctricos 1","Ciclo 5","Ingeniería Biomédica"
"Electromagnetismo","Física II","Ciclo 5","Ingeniería Biomédica"
"Matemática Analítica 5","Matemática Analítica 4","Ciclo 5","Ingeniería Biomédica"
"Microcontroladores","Programación de Computadoras","Ciclo 5","Ingeniería Biomédica"
"Biotecnología","Biomateriales","Ciclo 6","Ingeniería Biomédica"
"Ingeniería de Control 1","100 créditos aprobados","Ciclo 6","Ingeniería Biomédica"
"Instrumentación Biomédica","Biomateriales","Ciclo 6","Ingeniería Biomédica"
"Señales y Sistemas","Matemática Analítica 5" "Estadística","Ciclo 6","Ingeniería Biomédica"
"Diseño de Dispositivos Médicos","Instrumentación Biomédica" "Microcontroladores","Ciclo 7","Ingeniería Biomédica"
"Fundamentos de Bioinformática","Biotecnología" "Programación de Computadoras","Ciclo 7","Ingeniería Biomédica"
"Fundamentos de Biomecánica","Ingeniería de Control 1","Ciclo 7","Ingeniería Biomédica"
"Modelamiento de Sistemas Fisiológicos","Ingeniería de Control 1","Ciclo 7","Ingeniería Biomédica"
"Procesamiento Digital de Señales","120 créditos aprobados","Ciclo 7","Ingeniería Biomédica"
"Machine Learning para Bioinformática","Fundamentos de Bioinformática","Ciclo 8","Ingeniería Biomédica"
"Procesamiento Avanzado de Señales e Imágenes","Procesamiento Digital de Señales","Ciclo 8","Ingeniería Biomédica"
"Proyecto de Investigación","140 créditos aprobados" "Inglés 5","Ciclo 8","Ingeniería Biomédica"
"Proyecto Biomédico 1","Proyecto de Investigación" "2 créditos de Prácticas Preprofesionales","Ciclo 9","Ingeniería Biomédica"
"Curso de Trabajo de Investigación - Proyecto Biomédico 2","Proyecto Biomédico 1","Ciclo 10","Ingeniería Biomédica"
"Gestión de Tecnología en Salud","140 créditos aprobados","Ciclo 10","Ingeniería Biomédica"
"Comprensión y Producción de Lenguaje I","Ninguno","Ciclo 1","Ciencias de la Computación"
"Creatividad y Liderazgo (Ing)","Ninguno","Ciclo 1","Ciencias de la Computación"
"Ética y Ciudadanía","Ninguno","Ciclo 1","Ciencias de la Computación"
"Matemática Básica","Ninguno","Ciclo 1","Ciencias de la Computación"
"Introducción a los algoritmos","Ninguno","Ciclo 1","Ciencias de la Computación"
"Cálculo I","Matemática Básica","Ciclo 2","Ciencias de la Computación"
"Comprensión y Producción de Lenguaje II","Comprensión y Producción de Lenguaje I","Ciclo 2","Ciencias de la Computación"
"Seminario de Investigación Académica I","Comprensión y Producción de Lenguaje I","Ciclo 2","Ciencias de la Computación"
"Algoritmos","Introducción a los algoritmos","Ciclo 2","Ciencias de la Computación"
"Organización y Dirección de Empresas","Comprensión y Producción de Lenguaje I","Ciclo 2","Ciencias de la Computación"
"Física I","Cálculo I","Ciclo 3","Ciencias de la Computación"
"Algoritmos y Estructuras de Datos","Algoritmos","Ciclo 3","Ciencias de la Computación"
"Cálculo II","Cálculo I","Ciclo 3","Ciencias de la Computación"
"Especificación Y Análisis De Requerimientos","Organización y Dirección de Empresas","Ciclo 3","Ciencias de la Computación"
"Matemática Discreta","Cálculo I" "Algoritmos","Ciclo 3","Ciencias de la Computación"
"Arquitectura de Computadoras","Matemática Discreta","Ciclo 4","Ciencias de la Computación"
"Complejidad Algorítmica","Algoritmos y Estructuras de Datos","Ciclo 4","Ciencias de la Computación"
"Diseño De Base De Datos","Algoritmos y Estructuras de Datos","Ciclo 4","Ciencias de la Computación"
"Física Para Ciencias De La Computación","Física I","Ciclo 4","Ciencias de la Computación"
"Matemática Computacional","Matemática Discreta","Ciclo 4","Ciencias de la Computación"
"Algebra Lineal","Cálculo II","Ciclo 5","Ciencias de la Computación"
"Fundamentos de Data Science","Diseño De Base De Datos","Ciclo 5","Ciencias de la Computación"
"Fundamentos de Programación Competitiva","Complejidad Algorítmica","Ciclo 5","Ciencias de la Computación"
"IHC y Programación Web","Especificación Y Análisis De Requerimientos","Ciclo 5","Ciencias de la Computación"
"Sistemas Operativos","Arquitectura de Computadoras","Ciclo 5","Ciencias de la Computación"
"Estadística Aplicada I","Algebra Lineal","Ciclo 6","Ciencias de la Computación"
"Inteligencia Artificial","Complejidad Algorítmica","Ciclo 6","Ciencias de la Computación"
"Procesamiento De Imágenes","Fundamentos de Data Science","Ciclo 6","Ciencias de la Computación"
"Teoría de Compiladores","Fundamentos de Programación Competitiva" "Matemática Computacional","Ciclo 6","Ciencias de la Computación"
"Aplicaciones de Data Science","Fundamentos de Data Science","Ciclo 7","Ciencias de la Computación"
"Ingeniería De Software","IHC y Programación Web","Ciclo 7","Ciencias de la Computación"
"Machine Learning","Inteligencia Artificial" "Estadística Aplicada I","Ciclo 7","Ciencias de la Computación"
"Redes Y Protocolo De Comunicaciones","Sistemas Operativos","Ciclo 7","Ciencias de la Computación"
"Gerencia de Proyectos en Computación","Ingeniería De Software","Ciclo 8","Ciencias de la Computación"
"Seminario de Investigación Académica II (Ing)","Seminario de Investigación Académica I" "145 créditos aprobados","Ciclo 8","Ciencias de la Computación"
"Taller de Desempeño Profesional","Aplicaciones de Data Science" "Machine Learning" "Inglés 5","Ciclo 8","Ciencias de la Computación"
"Tópicos En Ciencias De La Computación","Machine Learning","Ciclo 8","Ciencias de la Computación"
"Programación Concurrente y Distribuida","Redes Y Protocolo De Comunicaciones","Ciclo 9","Ciencias de la Computación"
"Taller de Proyecto I","Gerencia de Proyectos en Computación" "Seminario de Investigación Académica II (Ing)" "Taller de Desempeño Profesional" "Aprobación del Director de la Carrera" "2 créditos de práctica","Ciclo 9","Ciencias de la Computación"
"Curso de Trabajo de Investigación -Taller de Proyecto II","Taller de Proyecto I","Ciclo 10","Ciencias de la Computación"
"Aprendizaje Estratégico y Liderazgo","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Crítica y Comunicación","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Fundamentos de Ingeniería de Gestión Empresarial","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Matemática Básica","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Pensamiento Crítico Aplicado","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Sistemas y Sociedad","Ninguno","Ciclo 1","Ingeniería de Gestión Empresarial"
"Cálculo I","Matemática Básica","Ciclo 2","Ingeniería de Gestión Empresarial"
"Dirección y Economía para Ingenieros","Fundamentos de Ingeniería de Gestión Empresarial","Ciclo 2","Ingeniería de Gestión Empresarial"
"Lógica","Matemática Básica","Ciclo 2","Ingeniería de Gestión Empresarial"
"Química","Ninguno","Ciclo 2","Ingeniería de Gestión Empresarial"
"Seminario de Investigación Académica I","Crítica y Comunicación","Ciclo 2","Ingeniería de Gestión Empresarial"
"Contabilidad Financiera para Ingenieros","Dirección y Economía para Ingenieros","Ciclo 3","Ingeniería de Gestión Empresarial"
"Cálculo II","Cálculo I","Ciclo 3","Ingeniería de Gestión Empresarial"
"Emprendimiento y Modelo de Negocio","Fundamentos de Ingeniería de Gestión Empresarial","Ciclo 3","Ingeniería de Gestión Empresarial"
"Estadística Aplicada I","Cálculo I","Ciclo 3","Ingeniería de Gestión Empresarial"
"Ingenieria de Procesos","Química","Ciclo 3","Ingeniería de Gestión Empresarial"
"Estadística Aplicada II","Estadística Aplicada I","Ciclo 4","Ingeniería de Gestión Empresarial"
"Física I","Cálculo I","Ciclo 4","Ingeniería de Gestión Empresarial"
"Informática para los negocios","Emprendimiento y Modelo de Negocio","Ciclo 4","Ingeniería de Gestión Empresarial"
"Ingeniería de Costos","Contabilidad Financiera para Ingenieros","Ciclo 4","Ingeniería de Gestión Empresarial"
"Ingeniería de Métodos","Estadística Aplicada I","Ciclo 4","Ingeniería de Gestión Empresarial"
"Estática Aplicada","Física I","Ciclo 5","Ingeniería de Gestión Empresarial"
"Gestión de Procesos Empresariales","Estadística Aplicada II","Ciclo 5","Ingeniería de Gestión Empresarial"
"Ingeniería de Productos y Servicios","Emprendimiento y Modelo de Negocio" "Estadística Aplicada I","Ciclo 5","Ingeniería de Gestión Empresarial"
"Marketing y Ventas","Emprendimiento y Modelo de Negocio","Ciclo 5","Ingeniería de Gestión Empresarial"
"Métodos Cuantitativos","Cálculo I","Ciclo 5","Ingeniería de Gestión Empresarial"
"Ingeniería Económica","Ingeniería de Costos","Ciclo 6","Ingeniería de Gestión Empresarial"
"Ingeniería Para La Innovación","Emprendimiento y Modelo de Negocio" "Informática para los negocios","Ciclo 6","Ingeniería de Gestión Empresarial"
"Ingeniería de Calidad","Gestión de Procesos Empresariales","Ciclo 6","Ingeniería de Gestión Empresarial"
"Inteligencia de Negocios para Ingenieros","Marketing y Ventas","Ciclo 6","Ingeniería de Gestión Empresarial"
"Simulación De Sistemas","Ingeniería de Productos y Servicios" "Métodos Cuantitativos","Ciclo 6","Ingeniería de Gestión Empresarial"
"Comportamiento Organizacional y Gestión de RRHH","Gestión de Procesos Empresariales","Ciclo 7","Ingeniería de Gestión Empresarial"
"Gerencia Financiera para Ingenieros","Ingeniería Económica","Ciclo 7","Ingeniería de Gestión Empresarial"
"Proyecto de Inversión","Ingeniería Para La Innovación","Ciclo 7","Ingeniería de Gestión Empresarial"
"Diseño Empresarial Aplicado","Inteligencia de Negocios para Ingenieros","Ciclo 8","Ingeniería de Gestión Empresarial"
"Logística y Cadena de Suministro","Inteligencia de Negocios para Ingenieros","Ciclo 8","Ingeniería de Gestión Empresarial"
"Seminario de Investigación Académica II (Ing)","Ingeniería Para La Innovación" "Inglés 5" "130 créditos aprobados","Ciclo 8","Ingeniería de Gestión Empresarial"
"Sistemas de Información Gerencial","Ingeniería Para La Innovación","Ciclo 8","Ingeniería de Gestión Empresarial"
"Aplicaciones Tecnológicas","Sistemas de Información Gerencial","Ciclo 9","Ingeniería de Gestión Empresarial"
"Gerencia De Proyectos","Diseño Empresarial Aplicado","Ciclo 9","Ingeniería de Gestión Empresarial"
"Trabajo de Investigación 1","Seminario de Investigación Académica II (Ing)" "2 créditos práctica preprofesional","Ciclo 9","Ingeniería de Gestión Empresarial"
"CTI Trabajo de Investigación 2","Logística y Cadena de Suministro" "Trabajo de Investigación 1","Ciclo 10","Ingeniería de Gestión Empresarial"
"Comprensión y Producción de Lenguaje I","Ninguno","Ciclo 1","Ingeniería de Gestión Minera"
"Matemática Básica","Ninguno","Ciclo 1","Ingeniería de Gestión Minera"
"Dibujo e Introducción al Software Minero","Ninguno","Ciclo 1","Ingeniería de Gestión Minera"
"Introducción a la ingeniería de gestión minera","Ninguno","Ciclo 1","Ingeniería de Gestión Minera"
"Química","Ninguno","Ciclo 1","Ingeniería de Gestión Minera"
"Cálculo I","Matemática Básica","Ciclo 2","Ingeniería de Gestión Minera"
"Comprensión y Producción de Lenguaje II","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería de Gestión Minera"
"Creatividad y Liderazgo (Ing)","Ninguno","Ciclo 2","Ingeniería de Gestión Minera"
"Ética y Ciudadanía","Ninguno","Ciclo 2","Ingeniería de Gestión Minera"
"Topografía","Dibujo e Introducción al Software Minero","Ciclo 2","Ingeniería de Gestión Minera"
"Física I","Cálculo I","Ciclo 3","Ingeniería de Gestión Minera"
"Seminario de Investigación Académica I","Comprensión y Producción de Lenguaje I","Ciclo 3","Ingeniería de Gestión Minera"
"Cálculo II","Cálculo I","Ciclo 3","Ingeniería de Gestión Minera"
"Geología General y Estructural","30 créditos aprobados","Ciclo 3","Ingeniería de Gestión Minera"
"Topografía Minera","Topografía","Ciclo 3","Ingeniería de Gestión Minera"
"Estadística Aplicada I","Cálculo I","Ciclo 4","Ingeniería de Gestión Minera"
"Ecuaciones Diferenciales y Álgebra Lineal","Cálculo II","Ciclo 4","Ingeniería de Gestión Minera"
"Mecánica de Materiales para Minería","50 créditos aprobados","Ciclo 4","Ingeniería de Gestión Minera"
"Mineralogía y petrología","Geología General y Estructural" "Química","Ciclo 4","Ingeniería de Gestión Minera"
"Aplicaciones del Software Minero","Dibujo e Introducción al Software Minero" "60 créditos aprobados","Ciclo 5","Ingeniería de Gestión Minera"
"Geología de Yacimientos Minerales","Geología General y Estructural" "60 créditos aprobados","Ciclo 5","Ingeniería de Gestión Minera"
"Ingeniería de la Voladura","Geología General y Estructural","Ciclo 5","Ingeniería de Gestión Minera"
"Mecánica de Fluidos","Ecuaciones Diferenciales y Álgebra Lineal","Ciclo 5","Ingeniería de Gestión Minera"
"Concentración de minerales","Geología de Yacimientos Minerales" "80 créditos aprobados","Ciclo 6","Ingeniería de Gestión Minera"
"Gestión de Ventilación de Minas","Mecánica de Fluidos","Ciclo 6","Ingeniería de Gestión Minera"
"Legislación minera","80 créditos aprobados","Ciclo 6","Ingeniería de Gestión Minera"
"Mecánica de Rocas","Geología de Yacimientos Minerales" "Mecánica de Materiales para Minería","Ciclo 6","Ingeniería de Gestión Minera"
"Aplicaciones Geoestadísticas en los Rec Minerales","Geología de Yacimientos Minerales" "Estadística Aplicada I","Ciclo 7","Ingeniería de Gestión Minera"
"Diseño de minas Subterráneas","Ingeniería de la Voladura" "Aplicaciones del Software Minero" "Mecánica de Rocas","Ciclo 7","Ingeniería de Gestión Minera"
"Gest.de RRHH y Responsabilidad Social en Minería","Legislación minera" "100 créditos aprobados","Ciclo 7","Ingeniería de Gestión Minera"
"Gestión Comercial De Minerales","Concentración de minerales","Ciclo 7","Ingeniería de Gestión Minera"
"Diseño de minas a Tajo Abierto","Diseño de minas Subterráneas","Ciclo 8","Ingeniería de Gestión Minera"
"Gestión de Proyectos en Minería","Diseño de minas Subterráneas","Ciclo 8","Ingeniería de Gestión Minera"
"Plan de Cierre de Minas y Rehabilitación","Diseño de minas Subterráneas","Ciclo 8","Ingeniería de Gestión Minera"
"Seguridad y Salud Ocupacional en Minería y Med Amb","Gest.de RRHH y Responsabilidad Social en Minería" "120 créditos aprobados","Ciclo 8","Ingeniería de Gestión Minera"
"Seminario de Investigación Académica II (Ing)","Inglés 5" "Seminario de Investigación Académica I" "120 créditos aprobados","Ciclo 8","Ingeniería de Gestión Minera"
"Comprensión y Producción de Lenguaje I","Ninguno","Ciclo 1","Ingeniería Electrónica"
"Creatividad y Liderazgo (Ing)","Ninguno","Ciclo 1","Ingeniería Electrónica"
"Ética y Ciudadanía","Ninguno","Ciclo 1","Ingeniería Electrónica"
"Matemática Básica","Ninguno","Ciclo 1","Ingeniería Electrónica"
"Introducción a la Electrónica","Ninguno","Ciclo 1","Ingeniería Electrónica"
"Cálculo I","Matemática Básica","Ciclo 2","Ingeniería Electrónica"
"Comprensión y Producción de Lenguaje II","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería Electrónica"
"Seminario de Investigación Académica I","Comprensión y Producción de Lenguaje I","Ciclo 2","Ingeniería Electrónica"
"Dibujo de Ingeniería 1","Matemática Básica","Ciclo 2","Ingeniería Electrónica"
"Química","Ninguno","Ciclo 2","Ingeniería Electrónica"
"Software para Ingeniería","Matemática Básica" "Introducción a la Electrónica","Ciclo 2","Ingeniería Electrónica"
"Estadística","Cálculo I","Ciclo 3","Ingeniería Electrónica"
"Física 1","Cálculo I","Ciclo 3","Ingeniería Electrónica"
"Análisis de Circuitos Eléctricos 1","Cálculo I","Ciclo 3","Ingeniería Electrónica"
"Circuitos Lógicos Digitales","Software para Ingeniería","Ciclo 3","Ingeniería Electrónica"
"Matemática Analítica 3","Cálculo I","Ciclo 3","Ingeniería Electrónica"
"Análisis de Circuitos Eléctricos 2","Análisis de Circuitos Eléctricos 1" "Química","Ciclo 4","Ingeniería Electrónica"
"Física II","Física 1","Ciclo 4","Ingeniería Electrónica"
"Matemática Analítica 4","Matemática Analítica 3","Ciclo 4","Ingeniería Electrónica"
"Programación de Computadoras","Circuitos Lógicos Digitales","Ciclo 4","Ingeniería Electrónica"
"Redes de Comunicaciones 1","Software para Ingeniería","Ciclo 4","Ingeniería Electrónica"
"Dispositivos y Circuitos Analógicos","Análisis de Circuitos Eléctricos 1","Ciclo 5","Ingeniería Electrónica"
"Electromagnetismo","Física II","Ciclo 5","Ingeniería Electrónica"
"Matemática Analítica 5","Matemática Analítica 4","Ciclo 5","Ingeniería Electrónica"
"Microcontroladores","Programación de Computadoras","Ciclo 5","Ingeniería Electrónica"
"Redes de Comunicaciones 2","Redes de Comunicaciones 1","Ciclo 5","Ingeniería Electrónica"
"Análisis de Circuitos Electrónicos","Dispositivos y Circuitos Analógicos","Ciclo 6","Ingeniería Electrónica"
"Diseño Digital","Microcontroladores" "Dibujo de Ingeniería 1","Ciclo 6","Ingeniería Electrónica"
"Ingeniería de Control 1","100 créditos aprobados","Ciclo 6","Ingeniería Electrónica"
"Programación Avanzada de Computadoras","Programación de Computadoras","Ciclo 6","Ingeniería Electrónica"
"Sensores y Acondicionadores","100 créditos aprobados","Ciclo 6","Ingeniería Electrónica"
"Señales y Sistemas","Matemática Analítica 5" "Estadística","Ciclo 6","Ingeniería Electrónica"
"Diseño de Circuitos Electrónicos","Análisis de Circuitos Electrónicos","Ciclo 7","Ingeniería Electrónica"
"Ingeniería de Comunicaciones","Electromagnetismo","Ciclo 7","Ingeniería Electrónica"
